iter	Passed	Remaining
0	3	3868
1	6	3445
2	9	3101
3	12	2994
4	14	2839
5	17	2827
6	18	2681
7	21	2621
8	23	2612
9	25	2573
10	28	2560
11	29	2459
12	32	2468
13	35	2476
14	37	2477
15	40	2481
16	42	2453
17	44	2423
18	46	2390
19	48	2352
20	50	2376
21	53	2358
22	54	2330
23	57	2339
24	60	2344
25	61	2322
26	64	2320
27	66	2296
28	68	2296
29	71	2297
30	72	2278
31	74	2248
32	76	2232
33	77	2203
34	79	2199
35	83	2231
36	85	2218
37	87	2219
38	91	2252
39	93	2242
40	95	2236
41	97	2227
42	99	2213
43	102	2218
44	104	2219
45	106	2218
46	109	2217
47	111	2219
48	113	2205
49	116	2205
50	118	2197
51	121	2206
52	122	2195
53	125	2194
54	128	2209
55	131	2211
56	132	2196
57	135	2194
58	136	2180
59	139	2180
60	141	2179
61	143	2168
62	145	2168
63	148	2167
64	150	2161
65	151	2147
66	154	2148
67	156	2142
68	158	2133
69	160	2128
70	162	2122
71	163	2107
72	165	2106
73	168	2111
74	171	2112
75	173	2112
76	176	2114
77	178	2113
78	180	2108
79	183	2107
80	185	2107
81	188	2108
82	190	2108
83	192	2104
84	195	2106
85	197	2097
86	199	2093
87	202	2095
88	205	2103
89	208	2105
90	210	2107
91	214	2115
92	217	2119
93	219	2118
94	222	2123
95	226	2132
96	228	2126
97	231	2126
98	233	2128
99	236	2126
100	238	2123
101	242	2131
102	244	2132
103	248	2136
104	251	2140
105	254	2143
106	256	2143
107	259	2142
108	262	2143
109	265	2145
110	268	2147
111	270	2144
112	273	2145
113	276	2147
114	280	2160
115	284	2164
116	287	2168
117	289	2166
118	292	2164
119	294	2162
120	297	2161
121	299	2157
122	301	2147
123	304	2151
124	306	2147
125	310	2150
126	313	2154
127	316	2154
128	319	2155
129	322	2156
130	323	2147
131	327	2150
132	329	2150
133	332	2147
134	334	2145
135	337	2141
136	339	2139
137	342	2137
138	344	2132
139	347	2136
140	350	2133
141	353	2134
142	355	2132
143	357	2126
144	359	2118
145	362	2121
146	365	2121
147	368	2123
148	371	2121
149	373	2119
150	376	2115
151	379	2117
152	382	2117
153	384	2110
154	386	2104
155	389	2107
156	392	2105
157	395	2106
158	398	2106
159	400	2103
160	402	2098
161	405	2096
162	407	2093
163	409	2089
164	411	2081
165	414	2083
166	416	2078
167	418	2071
168	421	2070
169	423	2067
170	429	2081
171	432	2079
172	433	2073
173	436	2073
174	439	2071
175	441	2064
176	442	2059
177	445	2058
178	448	2059
179	451	2056
180	453	2054
181	456	2052
182	459	2050
183	462	2051
184	465	2049
185	467	2047
186	470	2045
187	472	2042
188	475	2040
189	479	2042
190	481	2040
191	484	2038
192	487	2037
193	489	2034
194	491	2030
195	495	2032
196	498	2030
197	500	2027
198	503	2026
199	506	2024
200	508	2021
201	511	2022
202	514	2019
203	516	2015
204	518	2011
205	520	2007
206	523	2004
207	526	2005
208	529	2004
209	531	1998
210	533	1994
211	535	1991
212	538	1989
213	541	1990
214	544	1986
215	545	1981
216	548	1979
217	551	1977
218	553	1974
219	556	1974
220	559	1972
221	562	1969
222	564	1968
223	567	1965
224	569	1962
225	573	1963
226	575	1960
227	578	1958
228	581	1958
229	584	1955
230	586	1953
231	590	1955
232	592	1951
233	595	1949
234	598	1947
235	600	1945
236	603	1942
237	606	1942
238	608	1937
239	611	1935
240	613	1933
241	616	1930
242	618	1927
243	622	1928
244	624	1925
245	627	1923
246	630	1921
247	631	1914
248	633	1912
249	637	1912
250	640	1910
251	642	1906
252	645	1904
253	647	1901
254	649	1898
255	653	1898
256	655	1894
257	657	1890
258	660	1888
259	662	1884
260	664	1881
261	667	1880
262	670	1878
263	673	1876
264	675	1874
265	678	1871
266	680	1869
267	684	1869
268	687	1867
269	689	1865
270	692	1862
271	695	1860
272	697	1857
273	701	1857
274	703	1855
275	706	1853
276	709	1851
277	711	1848
278	715	1848
279	717	1845
280	720	1842
281	723	1841
282	725	1838
283	728	1836
284	733	1840
285	736	1838
286	739	1836
287	742	1834
288	743	1830
289	747	1829
290	749	1826
291	752	1824
292	755	1822
293	757	1819
294	759	1816
295	763	1815
296	765	1812
297	768	1810
298	771	1807
299	773	1805
300	776	1803
301	780	1803
302	782	1800
303	785	1798
304	788	1796
305	790	1793
306	794	1792
307	796	1790
308	800	1789
309	802	1787
310	804	1782
311	806	1778
312	810	1778
313	811	1773
314	814	1771
315	817	1769
316	819	1766
317	822	1763
318	825	1762
319	827	1759
320	831	1758
321	834	1756
322	836	1753
323	839	1750
324	841	1746
325	844	1746
326	847	1744
327	850	1742
328	852	1739
329	855	1736
330	858	1735
331	860	1732
332	863	1729
333	865	1726
334	867	1722
335	870	1719
336	872	1717
337	876	1715
338	878	1713
339	881	1711
340	884	1708
341	886	1705
342	889	1704
343	891	1699
344	893	1697
345	896	1695
346	898	1691
347	900	1687
348	903	1684
349	906	1682
350	908	1680
351	911	1678
352	913	1674
353	916	1672
354	918	1669
355	922	1668
356	925	1666
357	927	1663
358	930	1661
359	932	1657
360	935	1655
361	938	1654
362	941	1652
363	945	1651
364	947	1648
365	950	1645
366	953	1644
367	954	1639
368	956	1636
369	958	1632
